RunQueue,syscall,%CPU,RunQueue,syscall,User%,Sys%,Wait%
0.5,35065,0.3,6.46,208433,15.6,6.3,1.6
0.4,29721,0.13,5.04,177194,12.9,5.7,1.6
0.5,11638,2.12,4.77,160842,13.1,4.7,1.8
0.3,10477,0.24,3.98,170158,13.6,5.7,1.6
0.2,12484,0.23,6.11,253371,15.1,6.6,2.2
0.3,17868,0.22,6.94,247813,13.4,11.5,1.7
0.9,48459,0.22,5.24,224528,14.7,6,2.1
0.2,8432,0.22,5.77,252699,13.9,7.5,1.6
0.9,14527,0.14,5.49,226691,15,5.9,2.1
0.1,10320,1.82,9.42,280967,14.2,13.2,1.7
0.6,26209,0.28,6.36,232521,15.7,7.1,2
0.7,35571,0.23,5.3,264183,14.1,7.8,1.9
0.1,23197,0.22,6.17,219292,16.7,7.1,1.6
0.1,8414,0.22,6.24,199613,14.7,6.9,1.6
0.4,9580,0.3,5.51,177157,14.1,5.8,1.7
0,8964,0.14,6.37,176133,14.5,6,1.6
0.6,21435,1.77,5.36,208963,15.7,6.4,1.6
0.9,36576,0.23,7.23,208131,15.9,7.1,1.6
0.4,17515,0.23,5.97,184260,14.5,6.6,1.7
0.6,8384,0.22,6.09,199809,16,6.5,1.6
0.2,9574,0.22,6.42,232980,19,7.7,1.6
0.3,9946,0.22,6.1,203935,15.2,7.4,1.6
0.8,27683,0.14,4.83,163317,13.8,4.7,1.7
0.6,40920,2.01,5.77,189066,15.2,6,1.7
0.3,13520,0.23,7.3,235630,17.8,8.1,1.5
0.2,8351,0.2,5.71,201347,14.9,6.7,1.6
0,9662,0.28,4.78,168867,14.3,5.2,1.6
0,5407,0.23,5.37,182167,15,6.1,1.7
0.7,26123,0.22,6.44,230589,16.9,7.9,1.5
4.39,60267,0.31,4.97,185935,14.2,6.8,1.6
0.6,12003,0.13,4.64,168296,13.8,4.8,1.6
0.2,8740,1.9,4.44,181113,14.6,6,1.7
0.4,11643,0.23,6.02,232598,17.1,8.1,1.5
0.1,10501,0.23,6.22,193611,14.7,6.4,1.5
0.9,31564,0.22,5.04,163645,13.9,4.8,1.6
1,45243,0.22,5.37,179025,14.2,6,1.6
0.3,9047,0.22,8.43,243302,17.6,8.4,1.5
0.5,8493,3.94,5.38,189277,14.2,6.7,1.6
0,12934,1.95,4.7,161331,13.5,4.6,1.6
0,4280,0.23,6.77,216246,16.4,7.1,1.6
0.6,29479,0.23,7.37,219959,16.4,7.1,1.5
1.1,45359,0.22,7.09,189947,15.6,6,1.6
0.4,10062,0.22,5.11,187986,14.9,6.4,1.6
0.2,8357,0.31,4.78,180010,14.6,6.2,1.7
0.2,9602,0.14,6.15,203006,15.6,6.5,1.5
0.2,9732,2.05,7.23,195335,15,6.6,1.5
0.9,30095,0.22,5.63,195140,15.1,7,1.6
0.8,42698,0.23,5.64,185622,14.8,6.3,1.7
0.5,8074,0.22,8.23,230226,17.1,7.9,1.5
0.1,8992,0.22,5.43,185480,14,6.8,1.6
0,4311,0.22,4.58,167927,13.5,4.8,1.6
0.2,8012,0.14,5.37,176064,14.1,5.9,1.6
0.7,31522,1.84,7.02,230816,16.7,8,1.6
1,43045,0.23,6.37,191533,14,6.4,1.5
0.33,8896,0.25,4.84,160255,13.2,4.8,1.6
0.2,8812,0.22,4.77,175755,14.1,6,1.6
0.1,9138,0.22,6.57,241117,16.9,8.5,1.6
0.4,9520,0.22,6.17,181712,13.6,6.5,1.6
0.5,26942,0.14,4.64,157701,13.1,4.6,1.7
1.5,52668,1.94,6.9,204046,15.5,6.9,1.6
0.5,19475,0.23,6.5,231208,16.8,8.2,1.6
0.2,4557,0.23,5.96,187987,14.1,6.5,1.6
0.5,11273,0.22,5.58,158478,13.5,4.6,1.6
0.3,10525,0.22,5.51,183060,14.4,6.1,1.6
0.7,30022,0.22,6.1,234927,16.9,8.2,1.6
0.9,36451,0.14,5.58,184509,13.5,6.6,1.6
0.5,18916,1.89,4.77,173683,14.5,5.4,1.7
0.6,8854,0.23,6.56,177580,14.8,6,1.6
0.4,13507,0.2,6.23,230501,16.9,8,1.6
0.2,11100,0.28,5.88,189052,14.4,6.8,1.6
0.5,28004,0.23,4.11,168064,14.2,5,1.7
1.1,41286,0.22,5.5,184335,14.8,6,1.7
0.4,10456,0.25,7.18,231646,17.3,8.4,1.7
0.2,7388,0.14,6.1,195038,14.2,6.5,1.6
0.1,9369,1.77,4.58,157717,12.7,4.7,1.7
0.2,9540,0.24,6.5,176397,14.2,5.9,1.6
0.6,28186,0.23,6.69,243576,17,8.5,1.5
0.8,41754,0.23,5.37,185188,14,6.7,1.6
0.5,12857,0.22,4.58,161284,13.4,4.7,1.7
0.1,8777,0.22,6.68,204470,15.3,6.9,1.6
0.4,9423,1.34,6.9,234789,17.2,8.2,1.6
0.4,11701,2.86,5.57,188297,14.4,6.5,1.7
0.7,29739,1.96,4.5,161105,13.1,4.7,1.7
0.7,41285,4.42,6.77,194209,16,6.3,1.6
0.4,4099,0.23,7.62,229025,17.3,8.3,1.7
0.4,9580,0.22,4.82,193394,14.4,6.3,1.7
0,9327,0.22,4.65,173544,13.9,5.4,1.6
0.3,9507,0.17,6.17,179686,14.7,6,1.7
0.9,30492,1.3,7.55,236215,17.6,8,1.6
1.3,61667,0.17,5.51,191055,14.1,6.9,1.6
0.4,8724,1.29,5.97,165259,13.8,4.7,1.6
0.3,9315,0.17,5.1,178304,14.5,6,1.6
0.2,11211,1.3,5.64,228267,16.5,8,1.6
0.2,10485,0.17,5.71,191843,14.3,6.4,1.6
0.7,31912,0.9,4.5,159166,13,4.9,1.6
0.7,39231,0.4,5.84,185700,15.2,6,1.6
0.4,7930,0.17,5.63,242597,17.2,8.6,1.6
0.4,8850,1.06,6.81,183338,13.7,6.5,1.5
0.2,13419,0.24,4.91,159595,13.4,4.6,1.6
0.1,9855,0.17,5.24,197225,14.8,6.6,1.5
1,31125,1.17,7.94,231142,16.9,8.4,1.6
0.7,43944,0.12,6.63,185462,14.2,6.2,1.6
0.4,10238,0.17,6.04,161500,13.7,4.9,1.7
0.3,8933,1.29,6.23,178688,14.3,5.9,1.6
0.2,10012,0.17,7.03,221537,17.7,7.5,1.5
0.4,9554,1.21,6.24,192813,14,7.1,1.6
0.6,29271,0.17,5.03,169607,13.7,5.4,1.6
0.9,36782,1.27,5.09,191384,14.8,6.1,1.6
0.1,8072,0.17,7.03,225484,16.5,8.2,1.6
0.3,9729,0.21,5.39,189391,14.1,6.8,1.6
0.1,9206,1.08,4.98,160811,13.3,4.6,1.6
